continous_index,original_index,zinc_id,smiles,src
84,192,ZINC000000389551,CC(C)(C)[C@@H](N)C(=O)O,bachem-for-sale.csv
85,197,ZINC000000391104,N[C@@H](Cc1ccc(I)cc1)C(=O)O,bachem-for-sale.csv
86,198,ZINC000000391149,CC(C)C[C@H](N)CO,bachem-for-sale.csv
87,199,ZINC000000391807,N[C@@H](Cc1cccc2ccccc12)C(=O)O,bachem-for-sale.csv
88,200,ZINC000000391808,N[C@H](Cc1cccc2ccccc12)C(=O)O,bachem-for-sale.csv
89,201,ZINC000000391810,CC(C)(C)C[C@H](N)C(=O)O,bachem-for-sale.csv
90,202,ZINC000000391811,CC(C)(C)C[C@@H](N)C(=O)O,bachem-for-sale.csv
91,203,ZINC000000391821,CCC[C@H](N)C(=O)O,bachem-for-sale.csv
92,204,ZINC000000391822,CCC[C@@H](N)C(=O)O,bachem-for-sale.csv
93,205,ZINC000000391855,N[C@H](Cc1ccccc1)C(=O)OCc1ccccc1,bachem-for-sale.csv
94,206,ZINC000000391857,Cc1cc(=O)oc2cc(NC(=O)[C@@H](N)Cc3ccccc3)ccc12,bachem-for-sale.csv
95,207,ZINC000000391898,NC(=O)[C@@H]1CCCN1,bachem-for-sale.csv
96,208,ZINC000000391899,NC(=O)[C@H]1CCCN1,bachem-for-sale.csv
97,209,ZINC000000391903,O=C(Nc1ccc2ccccc2c1)[C@@H]1CCCN1,bachem-for-sale.csv
98,212,ZINC000000392024,NC[C@H](NC(=O)OCc1ccccc1)C(=O)O,bachem-for-sale.csv
99,213,ZINC000000392025,NC[C@@H](NC(=O)OCc1ccccc1)C(=O)O,bachem-for-sale.csv
100,220,ZINC000000393050,O=C(O)[C@H](CO)NCc1ccccc1,bachem-for-sale.csv
101,221,ZINC000000393777,N[C@@H](CCC(=O)Nc1cccc2ccccc12)C(=O)O,bachem-for-sale.csv
102,230,ZINC000000396506,N[C@H](COCc1ccccc1)C(=O)O,bachem-for-sale.csv
103,242,ZINC000000399376,CC(C)[C@H](N)C(N)=O,bachem-for-sale.csv
104,243,ZINC000000399444,NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)OCc1ccccc1,bachem-for-sale.csv
105,252,ZINC000000399545,NCC(=O)Nc1ccc2ccccc2c1,bachem-for-sale.csv
106,257,ZINC000000402635,CC(C)(C)OC(=O)CCN,bachem-for-sale.csv
107,258,ZINC000000402657,N[C@@H](Cc1ccccc1)[C@H](O)C(=O)O,bachem-for-sale.csv
108,261,ZINC000000402724,C[C@@H](OCc1ccccc1)[C@H](N)C(=O)O,bachem-for-sale.csv
109,262,ZINC000000402730,COC(=O)[C@H](Cc1cnc[nH]1)NCc1ccccc1,bachem-for-sale.csv
110,263,ZINC000000402733,N[C@H](CC(=O)OCc1ccccc1)C(=O)O,bachem-for-sale.csv
111,264,ZINC000000402734,CC(C)(C)SC[C@H](N)C(=O)O,bachem-for-sale.csv
112,265,ZINC000000402735,CC(C)(C)SC[C@@H](N)C(=O)O,bachem-for-sale.csv
113,266,ZINC000000402754,N[C@@H](Cc1cn(Cc2ccccc2)cn1)C(=O)O,bachem-for-sale.csv
114,267,ZINC000000402755,N[C@H](Cc1cn(Cc2ccccc2)cn1)C(=O)O,bachem-for-sale.csv
115,270,ZINC000000402915,COc1cc(NC(=O)CC[C@H](N)C(=O)O)cc2ccccc12,bachem-for-sale.csv
116,271,ZINC000000402921,N[C@@H](CCC(=O)Nc1ccc2ccccc2c1)C(=O)O,bachem-for-sale.csv
117,272,ZINC000000402998,CC[C@H](C)[C@H](N)CO,bachem-for-sale.csv
118,273,ZINC000000403026,CN[C@H](CC(C)C)C(=O)O,bachem-for-sale.csv
119,274,ZINC000000403027,CNC(C)(C)C(=O)O,bachem-for-sale.csv
120,275,ZINC000000403039,CC(C)C[C@](C)(N)C(=O)O,bachem-for-sale.csv
121,276,ZINC000000403040,CC(C)C[C@@](C)(N)C(=O)O,bachem-for-sale.csv
122,277,ZINC000000403075,CN1CCC[C@H]1C(=O)O,bachem-for-sale.csv
123,278,ZINC000000403083,Cc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12,bachem-for-sale.csv
124,279,ZINC000000403084,Cc1cccc2[nH]cc(C[C@@H](N)C(=O)O)c12,bachem-for-sale.csv
125,280,ZINC000000403087,CN[C@H](C(=O)O)C(C)C,bachem-for-sale.csv
126,281,ZINC000000403088,CN[C@@H](C(=O)O)C(C)C,bachem-for-sale.csv
127,283,ZINC000000403159,N[C@@H](Cc1csc2ccccc12)C(=O)O,bachem-for-sale.csv
128,284,ZINC000000403160,N[C@H](Cc1csc2ccccc12)C(=O)O,bachem-for-sale.csv
129,287,ZINC000000403488,N[C@@H](CSc1ccccc1)C(=O)O,bachem-for-sale.csv
130,290,ZINC000000403569,Cc1cc(=O)oc2cc(NC(=O)[C@@H]3CCCN3)ccc12,bachem-for-sale.csv
131,291,ZINC000000403598,N[C@@H](Cc1ccc(Oc2ccc(O)cc2)cc1)C(=O)O,bachem-for-sale.csv
132,292,ZINC000000403599,N[C@H](Cc1ccc(Oc2ccc(O)cc2)cc1)C(=O)O,bachem-for-sale.csv
133,293,ZINC000000404298,N[C@@H](CSCc1ccccc1)C(=O)O,bachem-for-sale.csv
134,294,ZINC000000404299,N[C@H](CSCc1ccccc1)C(=O)O,bachem-for-sale.csv
135,297,ZINC000000404775,C[C@@H](OC(C)(C)C)[C@H](N)C(=O)O,bachem-for-sale.csv
136,298,ZINC000000405158,N[C@@H](CC1CC1)C(=O)O,bachem-for-sale.csv
137,303,ZINC000000598586,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,bachem-for-sale.csv
138,312,ZINC000000621961,O=C(N[C@@H](Cc1cccnc1)C(=O)O)OCC1c2ccccc2-c2ccccc21,bachem-for-sale.csv
139,313,ZINC000000621963,O=C(N[C@H](Cc1cccnc1)C(=O)O)OCC1c2ccccc2-c2ccccc21,bachem-for-sale.csv
140,328,ZINC000000895032,N[C@@H](CC(=O)O)C(=O)O,bachem-for-sale.csv
141,329,ZINC000000895034,N[C@@H](CO)C(=O)O,bachem-for-sale.csv
142,330,ZINC000000895042,N[C@@H](CS)C(=O)O,bachem-for-sale.csv
143,331,ZINC000000895071,O=C(O)[C@H]1CCCN1,bachem-for-sale.csv
144,332,ZINC000000895099,CC(C)[C@H](N)C(=O)O,bachem-for-sale.csv
145,333,ZINC000000895099,CC(C)[C@H](N)C(=O)O,bachem-for-sale.csv
146,334,ZINC000000895103,C[C@@H](O)[C@H](N)C(=O)O,bachem-for-sale.csv
147,335,ZINC000000895124,N[C@H](CCC(=O)O)C(=O)O,bachem-for-sale.csv
148,337,ZINC000000895218,N[C@H](CC(=O)O)C(=O)O,bachem-for-sale.csv
149,339,ZINC000000895330,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,bachem-for-sale.csv
150,340,ZINC000000895334,C=C(C[C@H](N)C(=O)O)C(=O)O,bachem-for-sale.csv
151,341,ZINC000000895342,N[C@H](CO)C(=O)O,bachem-for-sale.csv
152,342,ZINC000000895347,N[C@H](CS)C(=O)O,bachem-for-sale.csv
153,343,ZINC000000895360,O=C(O)[C@@H]1CCCN1,bachem-for-sale.csv
